,Day,Doses,Year,Week
46063,2019-12-24,191001,2019,52
46062,2019-12-23,150606,2019,52
46068,2019-12-29,235685,2019,52
46432,2020-12-27,1091279,2020,52
46430,2020-12-25,1147464,2020,52
46802,2022-01-01,196255,2022,52
46428,2020-12-23,1306324,2020,52
46427,2020-12-22,1455926,2020,52
46426,2020-12-21,1500370,2020,52
46801,2021-12-31,204833,2021,52
46800,2021-12-30,213410,2021,52
46799,2021-12-29,221988,2021,52
46803,2022-01-02,187677,2022,52
46429,2020-12-24,1226894,2020,52
46797,2021-12-27,239144,2021,52
46798,2021-12-28,230566,2021,52
46437,2021-01-01,1142302,2021,53
46439,2021-01-03,1093005,2021,53
46435,2020-12-30,1088925,2020,53
46434,2020-12-29,1062236,2020,53
46433,2020-12-28,1073608,2020,53
46436,2020-12-31,1115614,2020,53
46438,2021-01-02,1168991,2021,53
